language,glottocode,feature,latitude,longitude
Lango (Uganda),lang1324,Benefactive and other objects; both bases,2.16666666667,33
Lower Grand Valley Dani,lowe1415,Benefactive and other objects; both bases,-4.33333333333,138.833333333
Luvale,luva1239,Benefactive and other objects; both bases,-12,22
Manipuri,mani1292,Benefactive and other objects; both bases,24.75,94
Maricopa,mari1440,Benefactive and other objects; both bases,33.1666666667,-113.166666667
Maybrat-Karon,maib1239,Benefactive and other objects; both bases,-1.33333333333,132.5
Nama (Namibia),nama1264,Benefactive and other objects; both bases,-25.5,18
Nez Perce,nezp1238,Benefactive and other objects; both bases,46,-116
Nyanja,nyan1308,Benefactive and other objects; both bases,-14,34
Oneida,onei1249,Benefactive and other objects; both bases,43,-75.6666666667
Paiwan,paiw1248,Benefactive and other objects; both bases,22.5,120.833333333
Plateau Malagasy,plat1254,Benefactive and other objects; both bases,-20,47
Seneca,sene1264,Benefactive and other objects; both bases,42.5,-77.5
Shipibo-Conibo,ship1254,Benefactive and other objects; both bases,-7.5,-75
Swahili,swah1253,Benefactive and other objects; both bases,-6.5,39
Tagalog,taga1270,Benefactive and other objects; both bases,15,121
Thompson,thom1243,Benefactive and other objects; both bases,49.75,-121.75
Tlachichilco Tepehua,tlac1235,Benefactive and other objects; both bases,20.5833333333,-98.25
Tukang Besi,tuka1247,Benefactive and other objects; both bases,-5.5,123.5
Urubú-Kaapor,urub1250,Benefactive and other objects; both bases,-2.33333333333,-46.5
Western Keres,west2632,Benefactive and other objects; both bases,34.9166666667,-107.583333333
Wichita,wich1260,Benefactive and other objects; both bases,33.3333333333,-97.3333333333
Wolof,nucl1347,Benefactive and other objects; both bases,15.25,-16
Wubuy,nung1290,Benefactive and other objects; both bases,-13.75,135.666666667
Yimas,yima1243,Benefactive and other objects; both bases,-4.66666666667,143.55
Zulu,zulu1248,Benefactive and other objects; both bases,-30,30
Abkhaz,abkh1244,Benefactive and other objects; transitive base only,43.0833333333,41
Taiap,taia1239,Benefactive and other objects; transitive base only,-4.08333333333,144.5
Afar,afar1241,Benefactive object only; both bases,12,42
Alamblak,alam1246,Benefactive object only; both bases,-4.66666666667,143.333333333
Amele,amel1241,Benefactive object only; both bases,-5.25,145.583333333
Chamorro,cham1312,Benefactive object only; both bases,13.45,144.75
Copainalá Zoque,copa1236,Benefactive object only; both bases,17,-93.25
Eastern Ojibwa,east2542,Benefactive object only; both bases,46,-80
Kannada,nucl1305,Benefactive object only; both bases,14,76
Kewa,kewa1250,Benefactive object only; both bases,-6.5,143.833333333
Malecite-Passamaquoddy,male1292,Benefactive object only; both bases,45,-67
Ngandi,ngan1295,Benefactive object only; both bases,-13.8333333333,135
Nootka,noot1239,Benefactive object only; both bases,49.6666666667,-126.666666667
Päri,pari1256,Benefactive object only; both bases,5,32.5
Paumari,paum1247,Benefactive object only; both bases,-6,-64
Plains Cree,plai1258,Benefactive and other objects; both bases,54,-110
Usan,usan1239,Benefactive object only; both bases,-4.83333333333,145.166666667
Yaqui,yaqu1251,Benefactive object; both bases,27.5,-110.25
Sebat Bet Gurage,seba1251,Benefactive object only;  transitive base only,8.112935,37.93267
Standard Indonesian,indo1316,Benefactive object only;  transitive base only,0,106
Tamnim Citak,tamn1235,Benefactive object only;  transitive base only,-5.5,138.5
Una,unaa1239,Benefactive object only;  transitive base only,-4.66666666667,140
Amur Nivkh,gily1242,No applicative construction,53.3333333333,142
Apurinã,apur1254,No applicative construction,-9,-67
Archi,arch1244,No applicative construction,42,46.8333333333
Aukan,ndyu1242,No applicative construction,4.5,-54.5
Awa-Cuaiquer,awac1239,No applicative construction,1.5,-78.25
Bagirmi,bagi1246,No applicative construction,11.6666666667,16
Barasana-Eduria,bara1380,No applicative construction,-0.166666666667,-70.6666666667
Basque,basq1248,No applicative construction,43,-3
